assessment_id,scope_item_id,N2O,CO2,CH4,Other,total
31,17,,,,,259
31,22,,,,,3372
31,23,,,,,82
32,1,0,0,0,0,0
32,2,0,0,0,0,0
32,3,0,0,0,0,0
32,4,0,0,0,0,0
32,5,0,0,0,0,0
32,6,,,,,177
32,7,,,,,
32,9,,,,,391
32,10,,,,,182
32,11,,,,,39
32,12,,,,,62
32,13,,,,,2106
32,17,,,,,64
32,22,,,,,1797
32,23,,,,,20
33,1,0,4311,0,0,4311
33,2,0,7804,0,0,7804
33,3,0,0,0,0,0
33,4,0,0,0,0,0
33,5,0,0,0,0,0
33,6,,,,,698
33,7,,,,,34
33,8,,,,,2819
33,9,,,,,13396
33,10,,,,,5377
33,11,,,,,70
33,13,,,,,244
33,17,,,,,208
33,22,,,,,3540
34,1,0,4943,0,0,4943
34,2,0,863,0,0,863
34,3,0,0,0,0,0
34,4,0,589,0,0,589
34,5,0,0,0,0,0
34,6,,,,,2104
34,7,,,,,
34,8,,,,,1148
34,23,,,,,1158
35,1,0,1831,0,0,1831
35,2,0,0,0,0,0
35,3,0,0,0,0,0
35,4,0,0,0,0,0
35,5,0,0,0,0,0
35,6,,,,,80
35,7,,,,,
35,9,,,,,493
36,1,0,715,0,0,715
36,2,0,116,0,0,116
36,3,0,0,0,0,0
36,4,0,0,0,1310,1310
36,5,0,0,0,0,0
36,6,,,,,474
36,7,,,,,
36,8,,,,,302
"37,1,""0,06"",1431,""0,12"",0,""1431,18"""
"37,2,""0,005"",163,""0,0002"",0,""163,0052"""
37,3,0,0,0,0,0
37,4,0,0,0,212,212
37,5,0,0,0,0,0
37,6,,,,,446
37,7,,,,,
37,8,,,,,467
37,9,,,,,2531
37,10,,,,,1726
37,11,,,,,5
37,13,,,,,742
37,17,,,,,494
37,22,,,,,1910
"38,1,0,""9410,3"",0,0,""9410,3"""
"38,2,0,""2427,9"",0,0,""2427,9"""
38,3,0,0,0,0,0
38,4,0,0,0,0,0
38,5,0,0,0,0,0
"38,6,,,,,""1209,8"""
"38,7,,,,,""1309,4"""
39,1,0,4351,0,0,4351
39,2,0,688,0,0,688
39,3,0,0,0,0,0
39,4,0,0,0,0,0
39,5,0,0,0,0,0
39,6,,,,,1119
39,7,,,,,
39,8,,,,,1266
39,9,,,,,3903
39,10,,,,,2033
39,13,,,,,28
39,16,,,,,9196
39,22,,,,,4256
41,1,0,1296,0,0,1296
41,2,0,4672,0,0,4672
41,3,0,0,0,0,0
41,4,0,0,0,0,0
41,5,0,0,0,0,0
41,6,,,,,494
41,7,,,,,
41,22,,,,,325
41,1,0,1025,0,0,1025
41,2,0,3688,0,0,3688
41,3,0,0,0,0,
41,4,0,0,0,0,
41,5,0,0,0,0,
41,6,,,,,596
41,7,,,,,
41,22,,,,,476
42,1,0,544,0,0,544
42,2,0,13,0,0,13
42,3,0,0,0,0,0
42,4,0,0,0,0,0
42,5,0,0,0,0,0
42,6,,,,,
42,7,,,,,69
42,8,,,,,124
42,9,,,,,417
42,10,,,,,98
42,11,,,,,82
42,12,,,,,33
42,13,,,,,43
42,22,,,,,118
43,1,0,931,0,0,931
43,2,0,1696,0,0,1696
43,3,0,0,0,0,0
43,4,0,0,0,1,1
43,5,0,0,0,0,0
43,6,,,,,235
43,7,,,,,
43,8,,,,,681
43,9,,,,,449
43,10,,,,,580
43,11,,,,,527
43,12,,,,,211
43,13,,,,,1
43,16,,,,,453
43,17,,,,,145
43,19,,,,,-270
43,22,,,,,333
43,23,,,,,1259
44,1,1,16415,2,0,16418
44,2,0,683,0,0,683
44,3,0,335,0,0,335
44,4,0,0,0,602,602
44,5,0,0,0,0,0
44,6,,,,,1089
44,7,,,,,
44,8,,,,,1097
44,9,,,,,3581
44,10,,,,,1419
44,22,,,,,519
44,23,,,,,17
"45,1,""0,006"",""133,909"",""0,012"",0,""133,927"""
"45,2,""0,043"",""1678,453"",""0,021"",0,""1678,517"""
45,3,0,0,0,0,0
45,4,0,0,0,0,0
45,5,0,0,0,0,0
"45,6,,,,,""458,261"""
45,7,,,,,
"45,8,,,,,""423,903"""
"45,9,,,,,""115,449"""
"45,10,,,,,""2325,085"""
"45,11,,,,,""10841,869"""
46,1,0,11,0,0,11
46,2,0,0,0,0,0
46,3,0,0,0,0,0
46,4,0,0,0,0,0
46,5,0,0,0,0,0
46,6,,,,,
46,7,,,,,
46,9,,,,,14
46,10,,,,,47
46,11,,,,,6
46,12,,,,,4
46,13,,,,,71
46,16,,,,,44
46,17,,,,,9
46,22,,,,,102
46,1,0,10,0,0,10
46,2,0,0,0,0,
46,3,0,0,0,0,
46,4,0,0,0,0,
46,5,0,0,0,0,
46,6,,,,,
46,7,,,,,
46,9,,,,,16
46,10,,,,,43
46,11,,,,,8
46,12,,,,,4
46,13,,,,,72
46,16,,,,,45
46,17,,,,,7
46,22,,,,,125
47,1,1,12749,1,0,12751
47,2,0,10468,0,0,10468
47,3,0,0,0,0,0
47,4,0,0,0,0,0
47,5,0,0,0,0,0
47,6,,,,,1618
47,7,,,,,2987
47,8,,,,,5633
47,9,,,,,8982
47,10,,,,,15551
47,11,,,,,7
47,13,,,,,254
47,16,,,,,26349
47,22,,,,,4492
48,1,0,2257,0,0,2257
48,2,0,974,0,0,974
48,3,0,0,0,48,48
48,4,0,0,0,0,0
48,5,0,0,0,0,0
48,6,,,,,1841
48,7,,,,,
48,8,,,,,1198
48,9,,,,,6639
48,10,,,,,1247
48,11,,,,,44
48,12,,,,,6
48,13,,,,,265
48,16,,,,,7092
48,22,,,,,2685
48,23,,,,,19
"49,1,""0,03"",""704,35"",""0,06"",0,""704,44"""
"49,2,""0,02"",""652,32"",""0,01"",0,""652,35"""
"49,3,0,""0,1"",0,0,""0,1"""
49,4,0,0,0,0,0
49,5,0,0,0,0,0
"49,6,,,,,""45,51"""
49,7,,,,,
"49,8,,,,,""299,02"""
50,1,0,10630,25,0,10655
50,2,0,1190,0,0,1190
50,3,0,0,0,23,23
50,4,0,0,0,0,0
50,5,0,0,0,0,0
50,6,,,,,2498
50,7,,,,,1809
50,8,,,,,2277
50,9,,,,,11894
50,10,,,,,14204
50,11,,,,,1209
50,13,,,,,785
50,14,,,,,189
50,16,,,,,15600
50,17,,,,,1
50,22,,,,,13136
51,1,0,350,0,0,350
51,2,0,0,0,0,0
51,3,0,0,0,0,0
51,4,0,0,0,0,0
51,5,0,0,0,0,0
51,6,,,,,
51,7,,,,,
51,9,,,,,50
51,10,,,,,380
51,11,,,,,4200
51,17,,,,,1900
51,22,,,,,320
52,1,0,1847,0,0,1847
52,2,0,0,0,0,0
52,3,0,15,0,0,15
52,4,0,0,0,0,0
52,5,0,0,0,0,0
52,6,,,,,
52,7,,,,,
52,9,,,,,834
52,10,,,,,296
52,11,,,,,6161
52,12,,,,,2952
52,13,,,,,653
53,1,0,2000,0,0,2000
53,2,0,0,0,0,0
53,3,0,0,0,0,0
53,4,0,0,0,0,0
53,5,0,0,0,0,0
53,6,,,,,
53,7,,,,,
53,9,,,,,2100
53,10,,,,,13100
53,11,,,,,1724
53,12,,,,,1650
53,13,,,,,90
53,16,,,,,702
53,22,,,,,210
54,1,0,16700,0,0,16700
54,2,0,3400,0,0,3400
54,3,0,0,0,0,0
54,4,0,0,0,0,0
54,5,0,0,0,0,0
54,6,,,,,
54,7,,,,,
54,9,,,,,38800
54,10,,,,,12400
54,11,,,,,1400
54,13,,,,,1500
54,16,,,,,2400
54,22,,,,,8300
55,1,0,227,0,0,227
55,2,0,7634,0,0,7634
55,3,0,0,0,0,0
55,4,0,0,0,163,163
55,5,0,0,0,0,0
55,6,,,,,5629
55,7,,,,,0
55,8,,,,,2034
55,9,,,,,49
55,10,,,,,2022
55,13,,,,,4
55,22,,,,,289
56,1,0,11661,0,0,11661
56,2,0,29693,0,0,29693
56,3,0,0,0,0,0
56,4,0,19,0,0,19
56,5,0,0,0,0,0
56,6,,,,,1705
56,7,,,,,
56,9,,,,,104485
56,10,,,,,13725
56,11,,,,,260
56,12,,,,,14342
56,13,,,,,658
56,15,,,,,1956
56,16,,,,,23594
56,22,,,,,16264
70,1,2,34727,3,0,34732
70,2,1,22246,0,0,22247
70,3,0,0,0,0,0
70,4,0,0,0,0,0
70,5,0,0,0,0,0
70,6,,,,,4854
70,7,,,,,0
70,8,,,,,12253
70,9,,,,,20016
70,10,,,,,72304
70,11,,,,,846
70,12,,,,,0
70,13,,,,,1975
70,14,,,,,0
70,15,,,,,0
70,16,,,,,0
70,17,,,,,0
70,18,,,,,0
70,19,,,,,0
70,20,,,,,0
70,21,,,,,0
70,22,,,,,0
70,23,,,,,8081
72,1,0,91,0,0,91
72,2,0,6912,0,0,6912
72,3,0,0,0,0,0
72,4,0,0,0,0,0
72,5,0,0,0,0,0
72,6,,,,,199
72,7,,,,,
72,8,,,,,1876
72,9,,,,,13157
72,11,,,,,73747
72,13,,,,,826
72,17,,,,,4959
72,22,,,,,1371
72,23,,,,,51
"76,1,0,""5,7389"",0,0,""5,7389"""
"76,2,0,""8,7364"",0,0,""8,7364"""
76,3,0,0,0,0,0
"76,4,0,0,0,""0,00465"",""0,00465"""
76,5,0,0,0,0,0
"76,6,,,,,""0,8923"""
76,7,,,,,
"76,9,,,,,""2,1721"""
"76,10,,,,,""10,2076"""
"76,11,,,,,""0,1767"""
"76,12,,,,,""0,0057"""
"76,13,,,,,""0,4712"""
"76,16,,,,,""0,7592"""
"76,22,,,,,""9,2909"""
77,1,0,4449,0,0,4449
77,2,0,1585,0,0,1585
77,3,0,0,0,0,0
77,4,0,262,0,0,262
77,5,0,0,0,0,0
77,6,,,,,2358
77,7,,,,,0
77,1,0,4790,0,0,4790
77,2,0,2225,0,0,2225
77,3,0,0,0,0,0
77,4,0,175,0,0,175
77,5,0,0,0,0,
77,6,,,,,2294
77,7,,,,,0
"81,1,0,""21,1"",0,0,""21,1"""
81,2,0,0,0,0,0
81,3,0,0,0,0,0
81,4,0,0,0,0,0
81,5,0,0,0,0,0
"81,6,,,,,""4,6"""
81,7,,,,,
"81,9,,,,,""0,7"""
"81,11,,,,,""2,1"""
81,13,,,,,32
"81,16,,,,,""48,3"""
"81,22,,,,,""9,1"""
82,1,0,534,0,0,534
82,2,0,80,0,0,80
82,3,0,0,0,0,0
82,4,0,0,0,0,0
82,5,0,0,0,0,0
82,6,,,,,1203
82,7,,,,,0
82,8,,,,,468
82,9,,,,,432
82,10,,,,,2257
82,11,,,,,0
82,12,,,,,47
82,13,,,,,529
82,14,,,,,0
82,15,,,,,0
82,16,,,,,0
82,17,,,,,0
82,18,,,,,0
82,19,,,,,0
82,20,,,,,0
82,21,,,,,0
82,22,,,,,0
82,23,,,,,0
83,1,0,54,0,0,54
83,2,0,14693,0,0,14693
83,3,0,0,0,0,0
83,4,0,0,0,0,0
83,5,0,0,0,0,0
83,6,,,,,30177
83,7,,,,,0
83,8,,,,,4888
83,9,,,,,21243
83,10,,,,,10707
83,11,,,,,1414
83,12,,,,,0
83,13,,,,,2365
83,14,,,,,0
83,15,,,,,0
83,16,,,,,0
83,17,,,,,0
83,18,,,,,-681
83,19,,,,,15923
83,20,,,,,0
83,21,,,,,10031
83,22,,,,,9092
83,23,,,,,0
"84,1,0,""770,373"",0,0,""770,373"""
"84,2,0,""9876,824"",0,0,""9876,824"""
84,3,0,0,0,0,0
"84,4,0,0,""6870,397"",0,""6870,397"""
84,5,0,0,0,0,0
"84,6,,,,,""2556,415"""
84,7,,,,,
"84,8,,,,,""2716,632"""
"84,13,,,,,""10,061"""
"88,1,""0,02"",575,0,0,""575,02"""
88,2,0,0,0,0,0
"88,3,0,0,0,""0,01"",""0,01"""
"88,4,0,0,0,""0,04"",""0,04"""
88,5,0,0,0,0,0
"88,6,,,,,""578,13"""
88,7,,,,,0
"88,8,,,,,""114,05"""
"88,9,,,,,""35567,13"""
"88,10,,,,,""1152,5"""
"88,11,,,,,""609,44"""
"88,12,,,,,""6739,15"""
"88,13,,,,,""1050,56"""
88,14,,,,,0
88,15,,,,,0
88,16,,,,,0
88,17,,,,,0
88,18,,,,,0
88,19,,,,,0
"88,20,,,,,""3703,84"""
88,21,,,,,0
88,22,,,,,0
"88,23,,,,,""5,63"""
"88,1,0,""628,8"",0,0,""628,8"""
88,2,0,0,0,0,0
"88,3,0,0,0,""0,01"",""0,01"""
"88,4,0,0,0,""0,05"",""0,05"""
88,5,0,0,0,0,0
"88,6,,,,,""616,26"""
88,7,,,,,0
"88,8,,,,,""125,1"""
"88,9,,,,,""34093,64"""
"88,10,,,,,""1138,57"""
"88,11,,,,,""504,85"""
"88,12,,,,,""5100,94"""
88,13,,,,,681
88,14,,,,,0
88,15,,,,,0
88,16,,,,,0
88,17,,,,,0
88,18,,,,,0
88,19,,,,,0
"88,20,,,,,""3869,04"""
88,21,,,,,0
88,22,,,,,0
"88,23,,,,,""848,97"""
91,1,0,16,0,0,16
91,2,0,190,0,0,190
91,3,0,0,0,0,0
91,4,0,0,0,68,68
91,5,0,0,0,0,0
91,6,,,,,21
91,7,,,,,
91,23,,,,,233
91,1,0,57,0,0,57
91,2,0,221,0,0,221
91,3,0,0,0,0,
91,4,0,0,0,0,
91,5,0,0,0,0,
91,6,,,,,24
91,7,,,,,
91,23,,,,,104
92,1,0,0,0,0,0
92,2,0,62521,0,0,62521
92,3,0,0,0,0,0
92,4,0,0,0,0,0
92,5,0,0,0,0,0
92,6,,,,,598
92,7,,,,,
92,8,,,,,68
92,23,,,,,845
"95,1,""0,68"",""90,58"",""0,13"",0,""91,39"""
"95,2,""1,14"",""140,92"",""0,11"",0,""142,17"""
95,3,0,0,0,0,0
"95,4,""226,575"",""0,038"",0,""32,489"",""259,102"""
95,5,0,0,0,0,0
"95,6,,,,,""196,4"""
"95,7,,,,,""874,18"""
"95,8,,,,,""214,48"""
"95,9,,,,,""2955,9"""
"95,10,,,,,""778,47"""
"95,11,,,,,""97,87"""
"95,12,,,,,""127,79"""
"95,13,,,,,""29,84"""
95,14,,,,,0
95,15,,,,,0
"95,16,,,,,""1321,81"""
95,17,,,,,0
95,18,,,,,0
95,19,,,,,0
95,20,,,,,0
95,21,,,,,0
"95,22,,,,,""965,43"""
"95,23,,,,,""4,26"""
96,1,0,1796,0,0,1796
96,2,0,1062,0,0,1062
96,3,0,0,0,0,0
96,4,0,105,0,0,105
96,5,0,0,0,0,0
96,6,,,,,411
96,7,,,,,3
96,1,0,1910,0,0,1910
96,2,0,922,0,0,922
96,3,0,0,0,0,0
96,4,0,73,0,0,73
96,5,0,0,0,0,0
96,6,,,,,
96,7,,,,,
97,1,0,6244,0,0,6244
97,2,0,12789,0,0,12789
97,3,0,0,0,0,0
97,4,0,436,0,0,436
97,5,0,0,0,0,0
97,6,,,,,912
97,7,,,,,227
97,23,,,,,69400
99,1,0,175,0,0,175
99,2,0,2112,0,0,2112
99,3,0,0,0,0,0
99,4,0,0,0,0,0
99,5,0,0,0,0,0
99,6,,,,,192
99,7,,,,,481
99,8,,,,,1242
99,9,,,,,407
99,10,,,,,3230
99,11,,,,,7954
99,12,,,,,290
99,13,,,,,6
99,14,,,,,0
99,15,,,,,0
99,16,,,,,0
99,17,,,,,1216
99,18,,,,,0
99,19,,,,,0
99,20,,,,,0
99,21,,,,,0
99,22,,,,,274
99,23,,,,,0
106,1,3,285,1,0,289
106,2,81,10074,5,0,10160
106,3,0,0,0,32,32
106,4,0,0,0,0,0
106,5,0,0,0,0,0
106,6,,,,,111
106,7,,,,,0
108,1,19,1746,3,0,1768
108,2,41,15823,3,10665,26532
108,3,0,0,0,0,0
108,4,0,0,0,0,0
108,5,0,0,0,0,0
108,6,,,,,6196
108,7,,,,,0
108,8,,,,,4539
108,9,,,,,15529
108,10,,,,,6154
108,11,,,,,2704
108,13,,,,,4
108,19,,,,,459
110,1,24,2184,4,0,2212
110,2,28,14096,2,10499,24625
110,3,0,0,0,0,0
110,4,0,0,0,0,0
110,5,0,0,0,0,0
110,6,,,,,8112
110,7,,,,,0
110,8,,,,,4341
110,9,,,,,19762
110,10,,,,,7164
110,11,,,,,3154
110,19,,,,,372
111,1,19,1757,3,0,1779
111,2,37,15674,3,11043,26757
111,3,0,0,0,0,0
111,4,0,0,0,0,0
111,5,0,0,0,0,0
111,6,,,,,8291
111,7,,,,,
111,8,,,,,4711
111,9,,,,,18959
111,10,,,,,8736
111,11,,,,,3044
111,19,,,,,354
112,1,0,454,0,7,461
112,2,0,151,0,1,152
112,3,0,0,0,0,0
112,4,0,0,0,1335,1335
112,5,0,0,0,0,0
112,6,,,,,2049
112,7,,,,,0
112,8,,,,,724
112,9,,,,,675
112,10,,,,,5094
112,11,,,,,101
112,12,,,,,73
112,13,,,,,2881
112,14,,,,,0
112,16,,,,,8154
112,17,,,,,0
112,18,,,,,0
112,19,,,,,0
112,20,,,,,0
112,21,,,,,0
112,22,,,,,180
112,23,,,,,0
112,1,0,1898,0,30,1928
112,2,0,194,0,1,195
112,3,0,0,0,0,0
112,4,0,0,0,1155,1155
112,5,0,0,0,0,
112,6,,,,,2563
112,7,,,,,0
112,8,,,,,1164
112,9,,,,,971
112,10,,,,,6231
112,11,,,,,276
112,12,,,,,65
112,13,,,,,5416
112,14,,,,,0
112,16,,,,,6390
112,17,,,,,0
112,18,,,,,0
112,19,,,,,0
112,20,,,,,0
112,21,,,,,0
112,22,,,,,48
112,23,,,,,0
114,1,0,274,0,0,274
114,2,0,720,0,0,720
114,3,0,0,0,0,0
114,4,0,235,0,0,235
114,5,0,0,0,0,0
114,6,,,,,789
114,7,,,,,
114,8,,,,,542
114,9,,,,,9909
114,10,,,,,4048
114,11,,,,,26
114,12,,,,,2769
114,13,,,,,620
114,17,,,,,2748
114,23,,,,,5792
114,1,0,883,0,0,883
114,2,0,682,0,0,682
114,3,0,0,0,0,
114,4,0,202,0,0,202
114,5,0,0,0,0,
114,6,,,,,1023
114,7,,,,,
114,8,,,,,735
114,9,,,,,8546
114,10,,,,,3847
114,11,,,,,126
114,12,,,,,4590
114,13,,,,,766
114,17,,,,,3150
114,23,,,,,5751
"119,1,0,""7782,6"",0,0,""7782,6"""
"119,2,0,""10,2"",0,0,""10,2"""
119,3,0,0,0,0,0
"119,4,0,0,0,""36,94"",""36,94"""
119,5,0,0,0,0,0
"119,6,,,,,""1540,7"""
119,7,,,,,
"119,1,0,""8626,3"",0,0,""8626,3"""
"119,2,0,""101,67"",0,0,""101,67"""
119,3,0,0,0,0,
119,4,0,0,0,542,542
119,5,0,0,0,0,
"119,6,,,,,""1870,24"""
119,7,,,,,
123,1,21,1819,5,0,1845
123,2,0,0,0,434,434
123,3,0,0,0,0,0
123,4,0,0,0,268,268
123,5,0,0,0,0,0
123,6,,,,,2164
123,7,,,,,
123,8,,,,,1175
123,9,,,,,3544
123,10,,,,,9777
123,11,,,,,821
123,12,,,,,19402
123,13,,,,,362
123,16,,,,,15576
123,17,,,,,3212
123,18,,,,,78147
123,19,,,,,134
123,22,,,,,11148
123,1,0,2287,0,35,2322
123,2,0,0,0,402,402
123,3,0,0,0,0,
123,4,0,0,0,281,281
123,5,0,0,0,0,
123,6,,,,,2405
123,7,,,,,
123,8,,,,,1188
123,9,,,,,4275
123,10,,,,,8261
123,11,,,,,778
123,12,,,,,14835
123,13,,,,,362
123,17,,,,,14318
123,18,,,,,4711
123,19,,,,,53306
123,20,,,,,132
123,22,,,,,10375
132,1,0,430,0,0,430
132,2,0,143,0,0,143
132,3,0,0,0,0,0
132,4,0,90,0,0,90
